zip_code,dma_code,dma_name,city,state,state_name,geo_key_zip,geo_key_city,geo_key_dma,geo_key_state
52555,679,DES MOINES-AMES,CENTERVILLE,IA,Iowa,52555,"CENTERVILLE, IA",DES MOINES-AMES,IA
52556,631,OTTUMWA-KIRKSVILLE,FAIRFIELD,IA,Iowa,52556,"FAIRFIELD, IA",OTTUMWA-KIRKSVILLE,IA
52557,631,OTTUMWA-KIRKSVILLE,,,,52557,,OTTUMWA-KIRKSVILLE,
52560,631,OTTUMWA-KIRKSVILLE,BLOOMFIELD,IA,Iowa,52560,"BLOOMFIELD, IA",OTTUMWA-KIRKSVILLE,IA
52561,679,DES MOINES-AMES,EDDYVILLE,IA,Iowa,52561,"EDDYVILLE, IA",DES MOINES-AMES,IA
52562,637,CEDAR RAPIDS-WTRLO-IWC &DUB,SIGOURNEY,IA,Iowa,52562,"SIGOURNEY, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52563,637,CEDAR RAPIDS-WTRLO-IWC &DUB,HEDRICK,IA,Iowa,52563,"HEDRICK, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52565,631,OTTUMWA-KIRKSVILLE,KEOSAUQUA,IA,Iowa,52565,"KEOSAUQUA, IA",OTTUMWA-KIRKSVILLE,IA
52566,631,OTTUMWA-KIRKSVILLE,EDDYVILLE,IA,Iowa,52566,"EDDYVILLE, IA",OTTUMWA-KIRKSVILLE,IA
52567,631,OTTUMWA-KIRKSVILLE,BATAVIA,IA,Iowa,52567,"BATAVIA, IA",OTTUMWA-KIRKSVILLE,IA
52568,637,CEDAR RAPIDS-WTRLO-IWC &DUB,HEDRICK,IA,Iowa,52568,"HEDRICK, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52569,679,DES MOINES-AMES,MELROSE,IA,Iowa,52569,"MELROSE, IA",DES MOINES-AMES,IA
52570,631,OTTUMWA-KIRKSVILLE,KEOSAUQUA,IA,Iowa,52570,"KEOSAUQUA, IA",OTTUMWA-KIRKSVILLE,IA
52571,679,DES MOINES-AMES,MORAVIA,IA,Iowa,52571,"MORAVIA, IA",DES MOINES-AMES,IA
52572,679,DES MOINES-AMES,DRAKESVILLE,IA,Iowa,52572,"DRAKESVILLE, IA",DES MOINES-AMES,IA
52573,631,OTTUMWA-KIRKSVILLE,KEOSAUQUA,IA,Iowa,52573,"KEOSAUQUA, IA",OTTUMWA-KIRKSVILLE,IA
52574,679,DES MOINES-AMES,CENTERVILLE,IA,Iowa,52574,"CENTERVILLE, IA",DES MOINES-AMES,IA
52576,637,CEDAR RAPIDS-WTRLO-IWC &DUB,OLLIE,IA,Iowa,52576,"OLLIE, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52577,679,DES MOINES-AMES,OSKALOOSA,IA,Iowa,52577,"OSKALOOSA, IA",DES MOINES-AMES,IA
52580,631,OTTUMWA-KIRKSVILLE,PACKWOOD,IA,Iowa,52580,"PACKWOOD, IA",OTTUMWA-KIRKSVILLE,IA
52581,679,DES MOINES-AMES,CENTERVILLE,IA,Iowa,52581,"CENTERVILLE, IA",DES MOINES-AMES,IA
52583,679,DES MOINES-AMES,CENTERVILLE,IA,Iowa,52583,"CENTERVILLE, IA",DES MOINES-AMES,IA
52584,631,OTTUMWA-KIRKSVILLE,BLOOMFIELD,IA,Iowa,52584,"BLOOMFIELD, IA",OTTUMWA-KIRKSVILLE,IA
52585,637,CEDAR RAPIDS-WTRLO-IWC &DUB,RICHLAND,IA,Iowa,52585,"RICHLAND, IA",CEDAR RAPIDS-WTRLO-IWC &DUB,IA
52586,679,DES MOINES-AMES,OSKALOOSA,IA,Iowa,52586,"OSKALOOSA, IA",DES MOINES-AMES,IA
